,models,auc,far
0,$u_{SCF}$,0.2121,0.1
1,$u_{SCF}$,0.249,0.05
2,$u_{SCF}$,0.2884,0.01
3,$u_{SCF}$,0.2943,0.005
4,$u_{vMF}$,0.2488,0.1
5,$u_{vMF}$,0.2793,0.05
6,$u_{vMF}$,0.2971,0.01
7,$u_{vMF}$,0.2981,0.005
8,$u_{power}$,0.2504,0.1
9,$u_{power}$,0.2798,0.05
10,$u_{power}$,0.2972,0.01
11,$u_{power}$,0.2981,0.005
12,$u_{baseline}$,0.2501,0.1
13,$u_{baseline}$,0.2799,0.05
14,$u_{baseline}$,0.2971,0.01
15,$u_{baseline}$,0.2981,0.005
16,$u_{vMF} + u_{SCF}$,0.2488,0.1
17,$u_{vMF} + u_{SCF}$,0.2792,0.05
18,$u_{vMF} + u_{SCF}$,0.2966,0.01
19,$u_{vMF} + u_{SCF}$,0.2977,0.005
20,$u_{power} + u_{SCF}$,0.2504,0.1
21,$u_{power} + u_{SCF}$,0.2798,0.05
22,$u_{power} + u_{SCF}$,0.2971,0.01
23,$u_{power} + u_{SCF}$,0.2981,0.005
24,$u_{baseline} + u_{SCF}$,0.25,0.1
25,$u_{baseline} + u_{SCF}$,0.2797,0.05
26,$u_{baseline} + u_{SCF}$,0.2971,0.01
27,$u_{baseline} + u_{SCF}$,0.2981,0.005
